Carlos Slim Helú	América Móvil, Grupo Carso, Grupo Financiero Inbursa, Minera Frisco, IDEAL, Inmuebles Carso, Austria Telekom
José Antonio Fernández Carbajal 	FEMSA
Alberto Baillères González	Grupo Bal
Armando Garza Sada	Alfa
Germán Larrea Mota Velasco	Grupo México, Cinemex
Daniel Servitje Montull	Grupo Bimbo
Carlos Slim Domit	América Móvil, Grupo Carso
Patrick Slim Domit	América Móvil, Grupo Carso
Marco Antonio Slim Domit	Grupo Financiero Inbursa, IDEAL
Rogelio Zambrano Lozano	CEMEX
Ricardo Salinas Pliego	Grupo Elektra, TV Azteca
Antonio del Valle Ruiz	Grupo Kaluz
Ricardo Martín Bringas y familia	Organización Soriana
Emilio Azcárraga Jean	Grupo Televisa
Max David Michel	El Puerto de Liverpool
Eduardo Tricio Haro	Grupo Industrial Lala
Enrique R. y Francisco A. Coppel Luken	Grupo Coppel
Valentín Diez Morodo	Grupo Nevadi Internacional
María Asunción Aramburuzabala	Tresalia Capital
Carlos Fernández González	Finaccess
Claudio X. González Laporte	Kimberly-Clark
Juan A. González Moreno	Gruma
Manuel Barragán Morales y familia	ArcaContinental
Roberto Hernández Ramírez	Grupo Financiero Banamex
Alejandro Baillères Gual	Grupo Bal
Carlos Hank González	GF Banorte, Gruma y Grupo Hermes
Francisco Robinson Bours-Castelo	Industrias Bachoco, Megacable
Adrián Sada González	Vitro
Juan Beckmann Vidal	José Cuervo
Alfredo y José Antonio Chedraui Obeso	Grupo Comercial Chedraui
Rafael Kalach Mizrahi	Grupo Kaltex
Pablo Escandón Cusi	Nacional de Drogas
Juan Gallardo Thurlow	Cultiba
Alejandro Ramírez Magaña	Cinépolis
Alberto Torrado Martínez	Alsea
Eugenio Garza Herrera	Grupo Xignux
Fernando Senderos Mestre	Grupo Kuo, Dine
Ángel Losada Moreno	Grupo Gigante, Grupo Presidente
Fernando Chico Pardo	Grupo Aeroportuario del Sureste
Olegario Vázquez Raña	Grupo Empresarial Ángeles
Eugenio Clariond Reyes	Grupo Cuprum, Grupo Cleber
Julio César Villarreal	Grupo Financiero Afirme, Grupo Villacero
Javier Arroyo Chávez	Farmacias Guadalajara
Enrique Zambrano Benítez	Grupo Proeza
Luis Berrondo Ávalos	Mabe
Carlos Hank Rhon	Grupo Financiero Interacciones, Grupo Hermes
Alfredo Harp Helú	Grupo Martí
Alejandro Soberón Kuri	Corp. Interamericana de Entretenimiento
Rufino Vigil González	Industrias CH, Grupo Simec
Antonio Cosío Pando	Hoteles Las Brisas, Tepeji del Río
Antonio del Valle Perochena	Grupo Kaluz
Federico Toussaint Elosúa	Grupo Lamosa
Antonio Madero Bracho	Rassini
Alejandro Zozaya	AMResorts
Moisés El-Mann Arazi	Fibra Uno
Juan Manuel Ley Bastidas	Grupo Ley
Carlos González Zabalegui	La Comer
Joaquín Vargas Guajardo	Grupo MVS, Dish, CMR
Juan Carlos Uriarte Amann	Grupo ADO
Carlos Danel y Carlos Labarthe	Gentera
Laura Zapata	Grupo Envases Universales
Jorge Vergara 	Omnilife, Chivas
Carlos Peralta Quintero	Industrias Unidas
Juan Antonio Hernández Venegas	Grupo Autofin
Olegario Vázquez Aldir	Grupo Empresarial Ángeles
David Peñaloza Alanis y familia	PINFRA
Blanca Treviño de la Vega 	Softtek 
Guillermo Francisco Vogel Hinojosa	Grupo Collado
Raúl y Sergio Gutiérrez Muguerza	DeAcero
Guadalupe de Jesús Vizcarra Calderón	SuKarne
Alonso Ancira Elizondo	Grupo Acerero del Norte
Roberto Alcántara Rojas	Grupo IAMSA
Héctor Hernández-Pons Torres	Grupo Herdez
Rolando Vega Sáenz	Seguros Atlas
Salvador Oñate Ascencio	Banco del Bajío
Miguel Rincón Arredondo	Bio Pappel
Humberto Garza González	Grupo Famsa
Miguel Alemán Magnani	Interjet
Guillermo Gutiérrez Saldivar	Grupo IDESA
Federico Terrazas Torres	Grupo Cementos de Chihuahua
Enrique Terrazas Torres	Grupo Punto Alto
Óscar Eugenio Baeza Farés	Grupo Bafar
Jaime Alberto Rivero Santos	Banregio Grupo Financiero
Daniel Chávez Morán	Grupo Vidanta
Agustín y Elmer Franco Macías	Grupo Infra
Bernardo Quintana Isaac	Empresas ICA
Luis Miguel Monroy Carrillo	Grupo La Moderna
Joaquín Brockman Lozano	Quálitas Compañía de Seguros
Raúl Beyruti Sánchez	GINgroup
Pablo Azcárraga Andrade	Grupo Posadas
Carlos Arenas Wiedfeldt	Grupo Arfelt
Eduardo Garza T. Fernández	Grupo Frisa
Carlos Álvarez Bermejillo 	Pisa Farmacéutica
Fernando Ponce Garcia Canton y familia	Bepensa
Carlos Casanueva Varas 	INTERprotección
Carlos Bremer Gutiérrez	Value Grupo Financiero
Mario Eduardo Garcia Lecuona Mayeur	Intercam Grupo Financiero
Rodrigo Herrera Aspra	Genomma Lab
Héctor Lagos Dondé	Monex Grupo Financiero
Julián Balbuena Alonso	Best Day Travel
